sentences,tokens,ner_tokens,FUNDAMENTO,DATA,ORGANIZACAO,PESSOA,PRODUTODELEI,LOCAL,EVENTO,lem_sentence,stem_sentence,id
"sala das sessões , em de de 2019 .","['sala', 'das', 'sessões', ',', 'em', 'de', 'de', '2019', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O']",0,1,0,0,0,0,0,sala sessão 2019,sal sess 2019,0
"projeto de lei n.º , de 2017 ( do sr .","['projeto', 'de', 'lei', 'n.º', ',', 'de', '2017', '(', 'do', 'sr', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O', 'O', 'O', 'O']",0,1,0,0,0,0,0,projeto lei n.º 2017 sr,projet lei n.º 2017 sr,1
iracema portella ) dispõe sobre os fundamentos e a política do agroturismo ou turismo rural e dá outras providências .,"['iracema', 'portella', ')', 'dispõe', 'sobre', 'os', 'fundamentos', 'e', 'a', 'política', 'do', 'agroturismo', 'ou', 'turismo', 'rural', 'e', 'dá', 'outras', 'providências', '.']","['B-PESSOA', 'I-PESSOA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,1,0,0,0,iracema portellar dispor fundamento política agroturismo turismo rural providência,iracem portell dispõ fundament polít agrotur tur rural provid,2
art . 4º esta lei entra em vigor na data de sua publicação .,"['art', '.', '4º', 'esta', 'lei', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,art 4º lei entrar vigor data publicação,art 4º lei entr vig dat public,3
"com o forte crescimento da população idosa masculina no país , a perspectiva é a de crescimento vertiginoso dos casos de câncer de próstata , conforme já constatado pelas estatísticas disponíveis .","['com', 'o', 'forte', 'crescimento', 'da', 'população', 'idosa', 'masculina', 'no', 'país', ',', 'a', 'perspectiva', 'é', 'a', 'de', 'crescimento', 'vertiginoso', 'dos', 'casos', 'de', 'câncer', 'de', 'próstata', ',', 'conforme', 'já', 'constatado', 'pelas', 'estatísticas', 'disponíveis', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,forte crescimento população idoso masculino país perspectiva crescimento vertiginoso caso câncer próstata conforme constatar estatística disponível,fort cresc popul idos masculin país perspec cresc vertigin cas cânc próstat conform constat estatís dispon,4
"a câmara dos deputados resolve : art . 1º esta resolução dá denominação ao plenário 2 , do anexo ii , da câmara dos deputados .","['a', 'câmara', 'dos', 'deputados', 'resolve', ':', 'art', '.', '1º', 'esta', 'resolução', 'dá', 'denominação', 'ao', 'plenário', '2', ',', 'do', 'anexo', 'ii', ',', 'da', 'câmara', 'dos', 'deputados', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'O']",0,0,0,0,0,1,0,câmara deputado resolver art 1º resolução denominação plenário 2 anexo ii câmara deputado,câm deput resolv art 1º resoluç denomin plen 2 anex ii câm deput,5
"art . 2º as normas regulamentadoras definirão as estratégias para o cumprimento desta determinação , disciplinando sobre os participantes , pessoas físicas ou jurídicas , priorizando para temas voltados para a prevenção de acidentes de trânsito , levando em consideração os aspectos humanos e comportamentais .","['art', '.', '2º', 'as', 'normas', 'regulamentadoras', 'definirão', 'as', 'estratégias', 'para', 'o', 'cumprimento', 'desta', 'determinação', ',', 'disciplinando', 'sobre', 'os', 'participantes', ',', 'pessoas', 'físicas', 'ou', 'jurídicas', ',', 'priorizando', 'para', 'temas', 'voltados', 'para', 'a', 'prevenção', 'de', 'acidentes', 'de', 'trânsito', ',', 'levando', 'em', 'consideração', 'os', 'aspectos', 'humanos', 'e', 'comportamentais', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,art 2º norma regulamentadoro definir estratégia cumprimento determinação disciplinar participante pessoa físico jurídico priorizar tema voltar prevenção acidente trânsito levar consideração aspecto humano comportamental,art 2º norm regulament defin estratég cumpr determin disciplin particip pesso físic juríd prioriz tem volt prevenç acid trânsit lev consider aspect human comportament,6
os portadores de formas crônicas de hepatite demandam atenção médica especializada constante para que seu quadro não evolua .,"['os', 'portadores', 'de', 'formas', 'crônicas', 'de', 'hepatite', 'demandam', 'atenção', 'médica', 'especializada', 'constante', 'para', 'que', 'seu', 'quadro', 'não', 'evolua', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,portador forma crônica hepatite demandar atenção médico especializar constante quadro evolua,port form crôn hepatit demand atenç médic especi const quadr evolu,7
"outra face deste processo foi a disseminação dos atendimentos automatizados que , além do custo da tarifa , impõem grande perda de tempo e constrangimento aos usuários .","['outra', 'face', 'deste', 'processo', 'foi', 'a', 'disseminação', 'dos', 'atendimentos', 'automatizados', 'que', ',', 'além', 'do', 'custo', 'da', 'tarifa', ',', 'impõem', 'grande', 'perda', 'de', 'tempo', 'e', 'constrangimento', 'aos', 'usuários', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,face processo disseminação atendimento automatizar custo tarifa impor perda constrangimento usuário,fac process dissemin atend autom cust tarif impõ perd constrang usu,8
art . 3º esta lei entra em vigor na data de sua publicação .,"['art', '.', '3º', 'esta', 'lei', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,art 3º lei entrar vigor data publicação,art 3º lei entr vig dat public,9
"ademais , elencamos as políticas a serem executadas pelo poder público nas áreas especiais de interesse turístico , com vistas ao cumprimento de incentivo à atividade turística .","['ademais', ',', 'elencamos', 'as', 'políticas', 'a', 'serem', 'executadas', 'pelo', 'poder', 'público', 'nas', 'áreas', 'especiais', 'de', 'interesse', 'turístico', ',', 'com', 'vistas', 'ao', 'cumprimento', 'de', 'incentivo', 'à', 'atividade', 'turística', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'B-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,1,0,1,0,0,elencar política ser executar público área especial interesse turístico vista cumprimento incentivo atividade turístico,elenc polít ser execut públic áre espec inter turís vist cumpr incen ativ turís,10
"projeto de lei nº , de 2011 ( do sr .","['projeto', 'de', 'lei', 'nº', ',', 'de', '2011', '(', 'do', 'sr', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O', 'O', 'O', 'O']",0,1,0,0,0,0,0,projeto lei nº 2011 sr,projet lei nº 2011 sr,11
deputado hildo rocha,"['deputado', 'hildo', 'rocha']","['B-PESSOA', 'B-PESSOA', 'I-PESSOA']",0,0,0,2,0,0,0,deputado hildo rocha,deput hild roch,12
"por um lado , há o programa escola aberta do governo federal .","['por', 'um', 'lado', ',', 'há', 'o', 'programa', 'escola', 'aberta', 'do', 'governo', 'federal', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O']",0,0,1,0,1,0,0,haver programa escola abrir governo federal,há program escol abert govern feder,13
"convém , ainda , que a especificação de parâmetros e exigências venha a ser tratada em regulamento , uma vez que a dinâmica da evolução tecnológica pode impor frequentes atualizações .","['convém', ',', 'ainda', ',', 'que', 'a', 'especificação', 'de', 'parâmetros', 'e', 'exigências', 'venha', 'a', 'ser', 'tratada', 'em', 'regulamento', ',', 'uma', 'vez', 'que', 'a', 'dinâmica', 'da', 'evolução', 'tecnológica', 'pode', 'impor', 'frequentes', 'atualizações', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,convém especificação parâmetro exigência vir tratar regulamento dinâmica evolução tecnológico impor frequente atualização,convém especific parâmetr exig venh trat regul dinâm evoluç tecnológ imp frequ atual,14
"afigura-se , portanto , desnecessária inscrição em ordem ou conselho para o exercício da profissão de músico . ”","['afigura-se', ',', 'portanto', ',', 'desnecessária', 'inscrição', 'em', 'ordem', 'ou', 'conselho', 'para', 'o', 'exercício', 'da', 'profissão', 'de', 'músico', '.', '”']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PESSOA', 'O', 'O']",0,0,0,1,0,0,0,afigurar se desnecessário inscrição ordem exercício profissão músico,afigura-s desnecessár inscr ord exercíci profiss músic,15
deputada bruna furlan,"['deputada', 'bruna', 'furlan']","['B-PESSOA', 'B-PESSOA', 'I-PESSOA']",0,0,0,2,0,0,0,deputada bruna Furlan,deput brun furlan,16
